country|blacklist
Vietnam|one;has;David
Vietnam|Augustine;with;Robert
Vietnam|also;Pope;that;James;Henry;one;Green
Mexico|has;Green
Mexico|has;which;from;William;Hippo
Mexico|Green;has;Pope;William;James
Pakistan|with;from;Hippo
Pakistan|has;William;from
Pakistan|that;Augustine
Germany|Robert;from
Germany|Robert;William;Henry;James;Augustine;Green;Pope
Germany|with;has;Henry;Pope;that;also
Russia|Hippo;also
Russia|one;Henry;Green;Pope
Russia|William;which;Augustine
Japan|Green
Japan|William
Japan|Hippo;Henry;James;also;Augustine;David;with
Indonesia|from;Pope;that
Indonesia|from;Augustine;also;Robert;Henry;Pope;which;album;David;Green
Indonesia|Pope;David;William;with;Henry
Philippines|has;Pope;James;Henry
Philippines|Augustine;Robert;Hippo;from;Green;that;has;with
Philippines|also;Hippo;Henry;from
Brazil|Augustine;has;with
Brazil|Hippo;Robert;Augustine;from
Brazil|one;Henry;also;has
United_States|Augustine;Pope;Green
United_States|Robert;Hippo;David
United_States|with;William
