person|country|tagClass|minPathDistance|maxPathDistance
21990232610865|Vietnam|MusicalArtist|3|5
10995116302422|Vietnam|MusicalArtist|3|6
28587302392125|Vietnam|MusicalArtist|3|7
28587302392377|Vietnam|MusicalArtist|3|8
8796093069607|Vietnam|MusicalArtist|4|6
6597069777870|Vietnam|MusicalArtist|4|7
4398046557125|Vietnam|MusicalArtist|4|8
60639|Vietnam|MusicalArtist|5|7
26388279107817|Vietnam|MusicalArtist|5|8
8796093037210|Vietnam|MusicalArtist|6|8
8796093042488|Vietnam|OfficeHolder|3|5
6597069808585|Vietnam|OfficeHolder|3|6
17592186077650|Vietnam|OfficeHolder|3|7
71774|Vietnam|OfficeHolder|3|8
32985348882035|Vietnam|OfficeHolder|4|6
6597069772223|Vietnam|OfficeHolder|4|7
13194139582146|Vietnam|OfficeHolder|4|8
13194139561534|Vietnam|OfficeHolder|5|7
10995116329237|Vietnam|OfficeHolder|5|8
15393162845240|Vietnam|OfficeHolder|6|8
6597069772222|Vietnam|Writer|3|5
41849|Vietnam|Writer|3|6
68084|Vietnam|Writer|3|7
19791209347550|Vietnam|Writer|3|8
28587302372037|Vietnam|Writer|4|6
8796093066009|Vietnam|Writer|4|7
8796093077284|Vietnam|Writer|4|8
2199023310277|Vietnam|Writer|5|7
28587302343284|Vietnam|Writer|5|8
28587302351410|Vietnam|Writer|6|8
24189255847142|Vietnam|BritishRoyalty|3|5
13194139550735|Vietnam|BritishRoyalty|3|6
13194139550304|Vietnam|BritishRoyalty|3|7
13159|Vietnam|BritishRoyalty|3|8
15393162803477|Vietnam|BritishRoyalty|4|6
30786325597356|Vietnam|BritishRoyalty|4|7
4398046521376|Vietnam|BritishRoyalty|4|8
32985348885515|Vietnam|BritishRoyalty|5|7
17592186060136|Vietnam|BritishRoyalty|5|8
26388279071948|Vietnam|BritishRoyalty|6|8
15393162804231|Mexico|MusicalArtist|3|5
30786325631729|Mexico|MusicalArtist|3|6
2199023298379|Mexico|MusicalArtist|3|7
8796093031587|Mexico|MusicalArtist|3|8
28587302324200|Mexico|MusicalArtist|4|6
30786325648821|Mexico|MusicalArtist|4|7
17592186069847|Mexico|MusicalArtist|4|8
17592186090804|Mexico|MusicalArtist|5|7
30786325580746|Mexico|MusicalArtist|5|8
28587302362968|Mexico|MusicalArtist|6|8
8796093080811|Mexico|OfficeHolder|3|5
17592186074233|Mexico|OfficeHolder|3|6
19791209370453|Mexico|OfficeHolder|3|7
19791209352009|Mexico|OfficeHolder|3|8
4398046557484|Mexico|OfficeHolder|4|6
21990232573898|Mexico|OfficeHolder|4|7
6597069767747|Mexico|OfficeHolder|4|8
15393162791567|Mexico|OfficeHolder|5|7
4398046531935|Mexico|OfficeHolder|5|8
24189255868717|Mexico|OfficeHolder|6|8
4398046513018|Mexico|Writer|3|5
26388279131436|Mexico|Writer|3|6
10995116316303|Mexico|Writer|3|7
15393162821228|Mexico|Writer|3|8
8796093081336|Mexico|Writer|4|6
15393162798605|Mexico|Writer|4|7
8614|Mexico|Writer|4|8
2199023307073|Mexico|Writer|5|7
40340|Mexico|Writer|5|8
8796093035434|Mexico|Writer|6|8
4398046516703|Mexico|BritishRoyalty|3|5
26388279098601|Mexico|BritishRoyalty|3|6
24189255873675|Mexico|BritishRoyalty|3|7
8796093089249|Mexico|BritishRoyalty|3|8
2199023274672|Mexico|BritishRoyalty|4|6
17592186112176|Mexico|BritishRoyalty|4|7
8796093057527|Mexico|BritishRoyalty|4|8
21990232613665|Mexico|BritishRoyalty|5|7
10995116287468|Mexico|BritishRoyalty|5|8
4398046573103|Mexico|BritishRoyalty|6|8
2199023258791|Pakistan|MusicalArtist|3|5
13194139586875|Pakistan|MusicalArtist|3|6
13194139554248|Pakistan|MusicalArtist|3|7
15393162797891|Pakistan|MusicalArtist|3|8
26388279104689|Pakistan|MusicalArtist|4|6
8796093084537|Pakistan|MusicalArtist|4|7
4398046525606|Pakistan|MusicalArtist|4|8
8796093055264|Pakistan|MusicalArtist|5|7
8796093058398|Pakistan|MusicalArtist|5|8
28587302325040|Pakistan|MusicalArtist|6|8
4398046542176|Pakistan|OfficeHolder|3|5
10995116313114|Pakistan|OfficeHolder|3|6
31740|Pakistan|OfficeHolder|3|7
