date|lengthThreshold|languages
1304200800000|20|ar
1304200800000|20|tk
1304200800000|20|tk
1304200800000|20|uz
1304200800000|20|uz
1304200800000|20|uz
1304200800000|20|uz
1304200800000|20|uz
1304200800000|20|uz
1304200800000|20|uz
1304200800000|20|uz
1304200800000|20|uz;tk
1304200800000|20|uz;tk
1304200800000|40|ar
1304200800000|40|tk
1304200800000|40|tk
1304200800000|40|uz
1304200800000|40|uz
1304200800000|40|uz
1304200800000|40|uz
1304200800000|40|uz
1304200800000|40|uz
1304200800000|40|uz
1304200800000|40|uz
1304200800000|40|uz;tk
1304200800000|40|uz;tk
1304200800000|113|ar
1304200800000|113|tk
1304200800000|113|tk
1304200800000|113|uz
1304200800000|113|uz
1304200800000|113|uz
1304200800000|113|uz
1304200800000|113|uz
1304200800000|113|uz
1304200800000|113|uz
1304200800000|113|uz
1304200800000|113|uz;tk
1304200800000|113|uz;tk
1304200800000|97|ar
1304200800000|97|tk
1304200800000|97|tk
1304200800000|97|uz
1304200800000|97|uz
1304200800000|97|uz
1304200800000|97|uz
1304200800000|97|uz
1304200800000|97|uz
1304200800000|97|uz
1304200800000|97|uz
1304200800000|97|uz;tk
1304200800000|97|uz;tk
1304200800000|240|ar
1304200800000|240|tk
1304200800000|240|tk
1304200800000|240|uz
1304200800000|240|uz
1304200800000|240|uz
1304200800000|240|uz
1304200800000|240|uz
1304200800000|240|uz
1304200800000|240|uz
1304200800000|240|uz
1304200800000|240|uz;tk
1304200800000|240|uz;tk
1304805600000|20|ar
1304805600000|20|tk
1304805600000|20|tk
1304805600000|20|uz
1304805600000|20|uz
1304805600000|20|uz
1304805600000|20|uz
1304805600000|20|uz
1304805600000|20|uz
1304805600000|20|uz
1304805600000|20|uz
1304805600000|20|uz;tk
1304805600000|20|uz;tk
1304805600000|40|ar
1304805600000|40|tk
1304805600000|40|tk
1304805600000|40|uz
1304805600000|40|uz
1304805600000|40|uz
1304805600000|40|uz
1304805600000|40|uz
1304805600000|40|uz
1304805600000|40|uz
1304805600000|40|uz
1304805600000|40|uz;tk
1304805600000|40|uz;tk
1304805600000|113|ar
1304805600000|113|tk
1304805600000|113|tk
1304805600000|113|uz
1304805600000|113|uz
1304805600000|113|uz
1304805600000|113|uz
1304805600000|113|uz
1304805600000|113|uz
1304805600000|113|uz
1304805600000|113|uz
1304805600000|113|uz;tk
1304805600000|113|uz;tk
1304805600000|97|ar
1304805600000|97|tk
1304805600000|97|tk
1304805600000|97|uz
1304805600000|97|uz
1304805600000|97|uz
1304805600000|97|uz
1304805600000|97|uz
1304805600000|97|uz
1304805600000|97|uz
1304805600000|97|uz
1304805600000|97|uz;tk
1304805600000|97|uz;tk
1304805600000|240|ar
1304805600000|240|tk
1304805600000|240|tk
1304805600000|240|uz
1304805600000|240|uz
1304805600000|240|uz
1304805600000|240|uz
1304805600000|240|uz
1304805600000|240|uz
1304805600000|240|uz
1304805600000|240|uz
1304805600000|240|uz;tk
1304805600000|240|uz;tk
1305410400000|20|ar
1305410400000|20|tk
1305410400000|20|tk
1305410400000|20|uz
1305410400000|20|uz
1305410400000|20|uz
1305410400000|20|uz
1305410400000|20|uz
1305410400000|20|uz
1305410400000|20|uz
1305410400000|20|uz
1305410400000|20|uz;tk
1305410400000|20|uz;tk
1305410400000|40|ar
1305410400000|40|tk
1305410400000|40|tk
1305410400000|40|uz
1305410400000|40|uz
1305410400000|40|uz
1305410400000|40|uz
1305410400000|40|uz
1305410400000|40|uz
1305410400000|40|uz
1305410400000|40|uz
1305410400000|40|uz;tk
1305410400000|40|uz;tk
1305410400000|113|ar
1305410400000|113|tk
1305410400000|113|tk
1305410400000|113|uz
1305410400000|113|uz
1305410400000|113|uz
1305410400000|113|uz
1305410400000|113|uz
1305410400000|113|uz
1305410400000|113|uz
1305410400000|113|uz
1305410400000|113|uz;tk
1305410400000|113|uz;tk
1305410400000|97|ar
1305410400000|97|tk
1305410400000|97|tk
1305410400000|97|uz
1305410400000|97|uz
1305410400000|97|uz
1305410400000|97|uz
1305410400000|97|uz
1305410400000|97|uz
1305410400000|97|uz
1305410400000|97|uz
1305410400000|97|uz;tk
1305410400000|97|uz;tk
1305410400000|240|ar
1305410400000|240|tk
1305410400000|240|tk
1305410400000|240|uz
1305410400000|240|uz
1305410400000|240|uz
1305410400000|240|uz
1305410400000|240|uz
1305410400000|240|uz
1305410400000|240|uz
1305410400000|240|uz
1305410400000|240|uz;tk
1305410400000|240|uz;tk
1306015200000|20|ar
1306015200000|20|tk
1306015200000|20|tk
1306015200000|20|uz
1306015200000|20|uz
1306015200000|20|uz
1306015200000|20|uz
1306015200000|20|uz
1306015200000|20|uz
1306015200000|20|uz
1306015200000|20|uz
1306015200000|20|uz;tk
1306015200000|20|uz;tk
1306015200000|40|ar
1306015200000|40|tk
1306015200000|40|tk
1306015200000|40|uz
1306015200000|40|uz
1306015200000|40|uz
1306015200000|40|uz
1306015200000|40|uz
1306015200000|40|uz
1306015200000|40|uz
