country|endDate
Spain|1356994800000
Niger|1356994800000
Tunisia|1356994800000
Iran|1356994800000
Chile|1356994800000
Burma|1356994800000
Nepal|1356994800000
Egypt|1356994800000
Cameroon|1356994800000
Democratic_Republic_of_the_Congo|1356994800000
Thailand|1356994800000
United_Kingdom|1356994800000
Moldova|1356994800000
South_Africa|1356994800000
Belarus|1356994800000
Senegal|1356994800000
Canada|1356994800000
Cambodia|1356994800000
Malaysia|1356994800000
Kenya|1356994800000
Algeria|1356994800000
Czech_Republic|1356994800000
South_Korea|1356994800000
Australia|1356994800000
Sweden|1356994800000
Hungary|1356994800000
Romania|1356994800000
Taiwan|1356994800000
Greece|1356994800000
Belgium|1356994800000
Ukraine|1356994800000
Morocco|1356994800000
Zambia|1356994800000
Portugal|1356994800000
Yemen|1356994800000
Tanzania|1356994800000
Italy|1356994800000
Ethiopia|1356994800000
Poland|1356994800000
Afghanistan|1356994800000
Netherlands|1356994800000
Argentina|1356994800000
Madagascar|1356994800000
Peru|1356994800000
Kazakhstan|1356994800000
Turkey|1356994800000
Venezuela|1356994800000
England|1356994800000
Cuba|1356994800000
Colombia|1356994800000
Sri_Lanka|1356994800000
