country1|country2
Mexico|Pakistan
Mexico|Germany
Mexico|Russia
Mexico|Japan
Mexico|Indonesia
Mexico|Philippines
Mexico|Brazil
Mexico|United_States
Pakistan|Germany
Pakistan|Russia
Pakistan|Japan
Pakistan|Indonesia
Pakistan|Philippines
Pakistan|Brazil
Pakistan|United_States
Germany|Russia
Germany|Japan
Germany|Indonesia
Germany|Philippines
Germany|Brazil
Germany|United_States
Russia|Japan
Russia|Indonesia
Russia|Philippines
Russia|Brazil
Russia|United_States
Japan|Indonesia
Japan|Philippines
Japan|Brazil
Japan|United_States
Indonesia|Philippines
Indonesia|Brazil
Indonesia|United_States
Philippines|Brazil
Philippines|United_States
Brazil|United_States
