tagClass1|tagClass2|threshold
Company|EurovisionSongContestEntry|200
Company|Boxer|200
Company|Athlete|200
Company|BasketballPlayer|200
Company|Chancellor|200
Company|MilitaryUnit|200
Company|FormulaOneRacer|200
Company|GolfPlayer|200
Company|Criminal|200
Company|AmericanFootballPlayer|200
Company|SoccerManager|200
Company|Band|200
Company|NascarDriver|200
EurovisionSongContestEntry|Boxer|200
EurovisionSongContestEntry|Athlete|200
EurovisionSongContestEntry|BasketballPlayer|200
EurovisionSongContestEntry|Chancellor|200
EurovisionSongContestEntry|MilitaryUnit|200
EurovisionSongContestEntry|FormulaOneRacer|200
EurovisionSongContestEntry|GolfPlayer|200
EurovisionSongContestEntry|Criminal|200
EurovisionSongContestEntry|AmericanFootballPlayer|200
EurovisionSongContestEntry|SoccerManager|200
EurovisionSongContestEntry|Band|200
EurovisionSongContestEntry|NascarDriver|200
Boxer|Athlete|200
Boxer|BasketballPlayer|200
Boxer|Chancellor|200
Boxer|MilitaryUnit|200
Boxer|FormulaOneRacer|200
Boxer|GolfPlayer|200
Boxer|Criminal|200
Boxer|AmericanFootballPlayer|200
Boxer|SoccerManager|200
Boxer|Band|200
Boxer|NascarDriver|200
Athlete|BasketballPlayer|200
Athlete|Chancellor|200
Athlete|MilitaryUnit|200
Athlete|FormulaOneRacer|200
Athlete|GolfPlayer|200
Athlete|Criminal|200
Athlete|AmericanFootballPlayer|200
Athlete|SoccerManager|200
Athlete|Band|200
Athlete|NascarDriver|200
BasketballPlayer|Chancellor|200
BasketballPlayer|MilitaryUnit|200
BasketballPlayer|FormulaOneRacer|200
BasketballPlayer|GolfPlayer|200
BasketballPlayer|Criminal|200
BasketballPlayer|AmericanFootballPlayer|200
BasketballPlayer|SoccerManager|200
BasketballPlayer|Band|200
BasketballPlayer|NascarDriver|200
Chancellor|MilitaryUnit|200
Chancellor|FormulaOneRacer|200
Chancellor|GolfPlayer|200
Chancellor|Criminal|200
Chancellor|AmericanFootballPlayer|200
Chancellor|SoccerManager|200
Chancellor|Band|200
Chancellor|NascarDriver|200
MilitaryUnit|FormulaOneRacer|200
MilitaryUnit|GolfPlayer|200
MilitaryUnit|Criminal|200
MilitaryUnit|AmericanFootballPlayer|200
MilitaryUnit|SoccerManager|200
MilitaryUnit|Band|200
MilitaryUnit|NascarDriver|200
FormulaOneRacer|GolfPlayer|200
FormulaOneRacer|Criminal|200
FormulaOneRacer|AmericanFootballPlayer|200
FormulaOneRacer|SoccerManager|200
FormulaOneRacer|Band|200
FormulaOneRacer|NascarDriver|200
GolfPlayer|Criminal|200
GolfPlayer|AmericanFootballPlayer|200
GolfPlayer|SoccerManager|200
GolfPlayer|Band|200
GolfPlayer|NascarDriver|200
Criminal|AmericanFootballPlayer|200
Criminal|SoccerManager|200
Criminal|Band|200
Criminal|NascarDriver|200
AmericanFootballPlayer|SoccerManager|200
AmericanFootballPlayer|Band|200
AmericanFootballPlayer|NascarDriver|200
SoccerManager|Band|200
SoccerManager|NascarDriver|200
Band|NascarDriver|200
